gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
LURAP1,,,,no,0.611,0.93,2834,2247,0.606
LY6H,,,,no,0.153,0.055,712,132,-1.49
LY75,,,,no,8.255,4.299,38312,10391,-0.941
LY9,,,,no,2.81,3.495,13039,8448,0.315
LY96,,,,no,1.93,1.815,8956,4387,-0.088
LYAR,,,,no,0.488,0.559,2266,1350,0.194
LYN,,,,no,1.392,1.301,6462,3144,-0.098
LYVE1,,,,no,0.29,0.245,1347,593,-0.242
LZIC,,,,no,2.988,3.517,13869,8499,0.235
LZTS1,,,,no,0.298,0.287,1383,694,-0.054
MAB21L1,,,,no,0.139,0.354,647,855,1.343
MAB21L2,,,,no,0.055,0.071,253,171,0.376
MACC1,,,,no,0.478,0.456,2217,1102,-0.067
MAD1L1,,,,no,5.473,4.1,25401,9910,-0.417
MAD2L1,,,,no,1.167,1.161,5418,2805,-0.008
MAEA,,,,no,7.636,4.997,35437,12076,-0.612
MAF,,,,no,4.044,2.947,18767,7123,-0.456
MAFA,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,0.083,0.122,383,294,0.56
MAFB,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,5.405,6.621,25082,16003,0.293
MAFF,,,,no,0.365,0.423,1696,1023,0.212
MAGEA10,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.043,0.084,199,202,0.963
MAGEA11,,,,no,0.033,0.051,155,123,0.608
MAGEA3,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.041,0.06,189,144,0.549
MAGEA4,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.025,0.042,118,101,0.717
MAGEB2,,,,no,0.048,0.073,224,176,0.593
MAGI1,,,,no,0.775,0.59,3597,1427,-0.393
MAGI3,,,,no,0.638,0.489,2963,1182,-0.385
MAK,,,,no,0.085,0.142,393,344,0.749
MAL,,,,no,1.469,1.38,6816,3335,-0.09
MAL2,,,,no,0.596,0.464,2768,1122,-0.362
MALL,,,,no,0.76,1.096,3529,2649,0.527
MALT1,,,,no,6.217,4.035,28854,9753,-0.624
MAML2,,,,no,1.563,1.357,7253,3279,-0.204
MAN1A1,,,,no,8.604,5.918,39931,14303,-0.54
MAN1B1,,,,no,7.425,5.373,34460,12985,-0.467
MAN2B1,,,,no,9.38,6.244,43531,15090,-0.587
MANEA,,,,no,0.679,0.783,3152,1892,0.205
MAOA,,,,no,6.8,1.835,31558,4434,-1.89
MAOB,,,,no,0.241,0.377,1118,911,0.646
MAP1A,,,,no,0.839,0.858,3895,2074,0.032
MAP1B,,,,no,1.386,0.827,6432,1998,-0.745
MAP1LC3A,,,,no,3.99,2.483,18516,6001,-0.684
MAP1LC3B,,,,no,3.516,3.731,16319,9017,0.085
MAP1S,,,,no,3.071,2.169,14253,5242,-0.502
MAP2,,,,no,0.299,0.287,1388,693,-0.061
MAP2K1,,,,no,2.842,1.939,13191,4687,-0.552
MAP2K4,,,,no,1.868,1.569,8668,3793,-0.251
MAP2K5,,,,no,1.371,1.62,6365,3915,0.24
MAP3K1,,,,no,3.843,3.254,17833,7865,-0.24
MAP3K14,,,,no,2.2,1.412,10212,3412,-0.64
MAP3K15,,,,no,0.07,0.076,326,184,0.116
MAP3K20,,,,no,1.197,1.057,5554,2555,-0.179
MAP3K5,,,,no,2.155,1.681,10000,4062,-0.358
MAP3K7,,,,no,5.216,3.62,24208,8750,-0.527
MAP3K7CL,,,,no,0.785,0.737,3644,1782,-0.091
MAP4,,,,no,7.74,6.426,35921,15530,-0.269
MAP4K2,,,,no,6.597,4.812,30615,11629,-0.455
MAP4K3,,,,no,1.887,1.508,8758,3645,-0.323
MAP4K4,,,,no,4.686,4.898,21747,11839,0.064
MAP4K5,,,,no,0.931,0.89,4321,2151,-0.065
MAP7,,,,no,3.097,1.574,14374,3804,-0.977
MAP7D1,,,,no,6.686,4.569,31027,11042,-0.549
MAPK1,,,,no,3.184,2.71,14777,6550,-0.233
MAPK10,,,,no,0.472,0.51,2190,1233,0.113
MAPK11,,,,no,1.007,1.312,4672,3171,0.382
MAPK12,,,,no,0.458,0.447,2127,1081,-0.035
MAPK14,,,,no,3.346,2.836,15527,6854,-0.238
MAPK15,,,,no,0.681,0.543,3162,1313,-0.327
MAPK3,,,,no,5.82,4.339,27011,10487,-0.424
MAPK7,,,,no,0.846,0.528,3928,1277,-0.68
MAPK8,,,,no,1.412,1.141,6551,2758,-0.307
MAPK8IP1,,,,no,0.607,0.248,2817,599,-1.292
MAPK8IP2,,,,no,0.32,0.298,1483,721,-0.099
MAPK8IP3,,,,no,7.122,5.843,33054,14122,-0.286
MAPK9,,,,no,2.586,2.203,12001,5324,-0.231
MAPKAPK2,,,,no,9.876,6.611,45834,15977,-0.579
MAPRE2,,,,no,2.83,4.167,13135,10072,0.558
MAPT,,,,no,0.298,0.396,1382,958,0.413
MARCO,,,,no,1.31,0.534,6081,1290,-1.296
MARK2,,,,no,5.956,5.39,27639,13028,-0.144
MASP1,,,,no,0.056,0.086,262,209,0.615
MASP2,,,,no,0.064,0.135,297,326,1.076
MAT1A,,,,no,0.048,,223,0,
MAVS,,,,no,6.191,4.356,28734,10527,-0.507
MAX,,,,no,6.985,5.955,32415,14392,-0.23
MBL2,,,,no,0.06,0.105,280,253,0.795
MBNL1,,,,no,6.629,6.52,30764,15757,-0.024
MC1R,,,,no,0.465,0.478,2157,1156,0.041
MC3R,,,,no,0.031,,143,0,
MC4R,,,,no,0.043,0.08,199,194,0.905
MCAM,,,,no,1.707,2.076,7924,5017,0.282
MCCC1,,,,no,4.357,2.8,20222,6767,-0.638
MCHR1,,,,no,0.033,0.052,152,125,0.659
MCHR2,,,,no,0.076,0.12,353,289,0.653
MCM2,,,,no,1.813,1.297,8413,3135,-0.483
MCM3,,,,no,4.09,3.149,18980,7611,-0.377
MCM3AP,,,,no,8.33,7.255,38661,17534,-0.199
MCM4,,,,no,2.099,1.368,9740,3306,-0.618
MCM5,,,,no,6.539,3.966,30349,9586,-0.721
MCM6,,,,no,2.343,2.22,10873,5365,-0.078
MCM7,,,,no,8.05,6.496,37359,15700,-0.309
MCM9,,,,no,2.569,2.426,11924,5863,-0.083
MCPH1,,,,no,1.829,1.852,8487,4477,0.019
MCTP2,,,,no,1.884,1.817,8743,4391,-0.052
MCTS1,,,,no,2.298,2.141,10663,5175,-0.102
MDC1,,,,no,2.152,2.536,9985,6129,0.237
MDFIC,,,,no,2.866,2.243,13299,5421,-0.353
MDM1,,,,no,1.639,1.975,7606,4774,0.269
MDM2,,,,no,5.812,4.051,26974,9790,-0.521
MDM4,,,,no,2.651,2.659,12304,6426,0.004
ME1,,,,no,1.32,1.348,6125,3258,0.031
MECOM,,,,no,0.403,0.464,1871,1121,0.202
MED1,,,,no,2.59,2.206,12018,5332,-0.231
MED12,,,,no,3.812,3.042,17689,7353,-0.325
MED12L,,,,no,0.089,0.147,414,356,0.724
MED14,,,,no,8.323,5.202,38627,12572,-0.678
MEF2A,,,,no,3.522,2.778,16345,6715,-0.342
MEF2C,,,,no,0.981,0.85,4553,2054,-0.207
MEG3,,,,no,0.433,0.722,2008,1745,0.739
MEGF10,,,,no,0.294,0.271,1365,655,-0.118
MEGF8,,,,no,1.426,1.086,6616,2625,-0.392
MEIOB,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.205,0.186,953,450,-0.141
MEIS1,,,,no,1.573,1.24,7302,2997,-0.344
MEIS2,,,,no,2.586,1.838,12002,4443,-0.492
MEIS3,,,,no,2.342,2.402,10869,5805,0.036
MELK,,,,no,0.287,0.158,1332,381,-0.864
MELTF,,,,no,0.262,0.345,1218,835,0.397
MEN1,,,,no,3.069,2.435,14243,5884,-0.334
MEPCE,,,,no,4.291,3.353,19913,8104,-0.356
MERTK,,,,no,3.016,2.567,13999,6205,-0.233
MEST,,,,no,0.303,0.36,1405,870,0.25
MET,,,,no,1.066,0.83,4946,2007,-0.36
METRNL,,,,no,0.966,0.662,4481,1599,-0.545
METTL16,,,,no,1.71,1.694,7935,4093,-0.014
METTL18,,,,no,0.502,0.699,2329,1690,0.479
METTL2A,,,,no,1.339,1.373,6213,3318,0.036
METTL3,,,,no,5.011,4.574,23255,11056,-0.131
MFAP5,,,,no,0.211,0.446,981,1078,1.077
MFF,,,,no,4.203,3.92,19505,9475,-0.1
MFGE8,,,,no,3.733,3.466,17323,8377,-0.107
MFN2,,,,no,4.874,3.442,22619,8320,-0.502
MFRP,,,,no,0.027,,125,0,
MFSD5,,,,no,0.974,0.828,4518,2000,-0.234
MGAM,,,,no,0.149,0.37,693,894,1.309
MGMT,,,,no,5.531,3.537,25668,8548,-0.645
MIAT,,,,no,0.763,0.911,3541,2201,0.255
MICA,,,,no,0.352,0.484,1634,1169,0.458
MICAL2,,,,no,3.105,2.645,14408,6393,-0.231
MICB,,,,no,0.383,0.59,1779,1425,0.621
MID2,,,,no,1.175,0.861,5453,2082,-0.448
MIEN1,,,,no,1.038,0.877,4817,2120,-0.243
MIIP,,,,no,2.943,2.342,13657,5660,-0.33
MINDY1,,,,no,1.008,0.744,4677,1798,-0.438
MINDY2,,,,no,2.552,2.188,11842,5288,-0.222
MINPP1,,,,no,0.691,0.704,3209,1701,0.026
MIPOL1,,,,no,0.643,0.652,2984,1575,0.019
MIR155HG,,,,no,1.018,0.892,4726,2157,-0.19
MITD1,,,,no,2.963,3.32,13750,8023,0.164
MITF,,,,no,0.563,0.444,2611,1072,-0.343
MKI67,,,,no,0.789,0.712,3660,1721,-0.147
MKNK1,,,,no,1.688,1.508,7835,3644,-0.163
MKRN2,,,,no,2.851,2.087,13231,5045,-0.45
MKRN3,,,,no,0.326,0.557,1511,1347,0.776
MKX,,,,no,0.059,0.106,273,256,0.849
MLANA,,,,no,0.039,0.101,182,245,1.37
MLF1,,,,no,0.224,0.291,1040,704,0.378
MLH1,,,,no,2.316,1.864,10749,4506,-0.313
MLPH,,,,no,0.282,0.427,1308,1031,0.598
MLXIP,,,,no,5.648,4.769,26212,11527,-0.244
MLXIPL,,,,no,1.108,0.807,5142,1951,-0.457
MMACHC,,,,no,0.163,0.279,757,674,0.774
MMADHC,,,,no,5.332,4.146,24745,10020,-0.363
MME,,,,no,0.967,1.761,4489,4255,0.864
MMEL1,,,,no,0.045,0.051,207,124,0.202
MMP11,,,,no,0.195,0.335,903,810,0.784
MMP12,,,,no,0.599,0.276,2779,667,-1.118
MMP13,,,,no,0.089,0.108,415,262,0.278
MMP14,,,,no,14.778,12.543,68585,30316,-0.237
MMP21,,,,no,0.097,0.176,448,425,0.865
MMP8,,,,no,0.122,0.307,567,742,1.329
MMP9,,,,no,1.54,0.655,7148,1584,-1.233
MMRN2,,,,no,1.366,1.482,6339,3582,0.118
MNS1,,,,no,0.168,0.21,778,507,0.323
MNX1,,,,no,0.04,0.065,187,156,0.68
MOB2,,,,no,2.262,1.865,10500,4508,-0.279
MOB4,,,,no,0.494,0.772,2292,1866,0.645
MOG,,,,no,0.031,0.045,144,108,0.526
MON2,,,,no,3.333,3.464,15466,8373,0.056
MOV10,,,,no,3.762,3.044,17460,7357,-0.306
MPDU1,,,,no,2.55,1.885,11834,4555,-0.436
MPDZ,,,,no,0.818,0.866,3795,2094,0.083
MPHOSPH9,,,,no,2.308,2.177,10711,5262,-0.084
MPI,,,,no,0.839,1.093,3893,2641,0.381
MPL,,,,no,0.076,0.069,353,166,-0.147
MPLKIP,,,,no,0.177,0.22,821,531,0.313
MPO,,,,no,0.584,1.562,2709,3776,1.42
MPP7,,,,no,1.929,1.727,8954,4174,-0.16
MPPED1,,,,no,0.393,0.271,1825,655,-0.537
MPPED2,,,,no,0.2,0.196,930,474,-0.031
MPZ,,,,no,1.632,2.061,7576,4981,0.336
MPZL1,,,,no,1.869,1.678,8676,4055,-0.156
MR1,,,,no,1.932,1.743,8966,4212,-0.149
MRAP,,,,no,0.033,0.051,155,124,0.619
MRAP2,,,,no,0.583,1.043,2706,2521,0.839
MRC1,,,,no,3.535,2.99,16406,7226,-0.242
MRC2,,,,no,2.601,2.598,12069,6278,-0.002
MRE11,,,,no,3.046,2.664,14136,6438,-0.193
MRFAP1L1,,,,no,7.697,6.54,35722,15807,-0.235
MRGPRX2,,,,no,0.061,0.107,283,259,0.813
MRM3,,,,no,0.666,0.555,3093,1342,-0.263
MRPL45,,,,no,4.157,3.255,19293,7868,-0.353
MRTFA,,,,no,3.389,2.49,15728,6017,-0.445
MRTFB,,,,no,3.298,3.019,15304,7296,-0.127
MS4A1,,,,no,8.06,6.92,37408,16724,-0.22
MS4A2,,,,no,0.061,0.097,282,234,0.672
MSC,,,,no,0.405,0.348,1878,840,-0.219
MSH2,,,,no,3.659,3.598,16983,8696,-0.024
MSH3,,,,no,2.259,2.771,10486,6696,0.294
MSH6,,,,no,1.588,1.201,7371,2902,-0.404
MSI1,,,,no,0.143,0.126,663,304,-0.184
MSI2,,,,no,1.609,1.345,7467,3250,-0.259
MSLN,,,,no,0.115,,533,0,
MSN,,,,no,23.927,17.637,111043,42627,-0.44
MSR1,,,,no,4.237,4.103,19663,9917,-0.046
MST1,,,,no,1.01,0.845,4689,2043,-0.257
MST1R,,,,no,1.042,0.806,4837,1948,-0.371
MSTN,,,,no,0.089,0.162,411,391,0.869
MT1A,,,,no,0.038,0.057,175,137,0.588
MT2A,,,,no,12.879,5.237,59772,12657,-1.298
MTA1,,,,no,8.612,6.363,39967,15378,-0.437
MTA2,,,,no,6.113,4.953,28368,11971,-0.303
MTAP,,,,no,2.493,2.981,11570,7205,0.258
MTCH2,,,,no,3.919,2.907,18186,7027,-0.431
MTCL1,,,,no,2.63,2.363,12205,5710,-0.155
MTERF2,,,,no,0.713,0.796,3310,1924,0.159
MTFR1L,,,,no,1.176,0.933,5458,2254,-0.335
MTHFD1,,,,no,1.016,0.963,4716,2328,-0.077
MTHFR,,,,no,2.025,1.73,9400,4182,-0.227
MTNR1A,,,,no,0.035,0.047,162,114,0.434
MTNR1B,,,,no,0.048,0.072,225,174,0.57
MTOR,,,,no,5.035,3.235,23365,7818,-0.638
MTPAP,,,,no,1.682,1.521,7808,3676,-0.146
MTR,,,,no,5.385,4.537,24992,10966,-0.247
MTRES1,,,,no,1.229,1.247,5703,3013,0.021
MTREX,,,,no,3.805,3.941,17657,9524,0.051
MTRF1,,,,no,2.352,1.452,10916,3510,-0.696
MUC1,,,,no,0.49,0.209,2274,505,-1.23
MUC16,,,,no,0.552,0.679,2561,1641,0.299
MUC19,,,,no,0.212,0.298,984,720,0.491
MUC4,,,,no,0.309,0.317,1433,767,0.04
MUC5AC,,,,no,0.027,0.054,126,131,0.997
MUC5B,,,,no,0.034,,156,0,
MUTYH,,,,no,0.773,0.708,3589,1711,-0.127
MVD,,,,no,0.63,0.462,2926,1116,-0.449
MVP,,,,no,9.652,6.786,44795,16401,-0.508
MX1,,,,no,18.568,12.596,86174,30444,-0.56
MXD1,,,,no,1.811,1.228,8403,2969,-0.56
MXRA7,,,,no,5.572,4.428,25860,10702,-0.332
MYB,,,,no,5.182,3.917,24051,9468,-0.404
MYBBP1A,,,,no,2.154,1.519,9996,3672,-0.504
MYBL2,,,,no,1.028,0.522,4770,1261,-0.978
MYC,,,,no,1.858,1.706,8622,4122,-0.123
MYCBP,,,,no,2.216,2.204,10283,5328,-0.007
MYCL,,,,no,2.303,1.12,10686,2706,-1.04
MYCN,,,,no,0.153,0.224,708,541,0.553
MYD88,,,,no,3.966,3.207,18406,7750,-0.307
MYEF2,,,,no,1.11,0.897,5153,2169,-0.307
MYH1,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.044,0.076,203,183,0.792
MYH10,,,,no,1.623,1.235,7532,2986,-0.394
MYH13,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.023,0.044,108,106,0.914
MYH2,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.054,0.095,252,230,0.809
MYH4,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.035,0.063,161,153,0.868
MYH9,,,,no,41.267,28.753,191518,69492,-0.521
MYLIP,,,,no,1.076,1.054,4994,2548,-0.03
MYLK,,,,no,1.135,1.085,5268,2622,-0.065
MYLK2,,,,no,0.167,0.123,776,297,-0.444
MYLK3,,,,no,0.144,0.151,669,364,0.063
MYNN,,,,no,0.772,0.739,3585,1787,-0.063
MYO15A,,,,no,0.265,0.264,1232,637,-0.01
MYO18B,,,,no,0.405,0.247,1879,596,-0.715
MYO1B,,,,no,2.608,2.033,12103,4913,-0.359
MYO1C,,,,no,4.076,3.582,18916,8657,-0.186
MYO1D,,,,no,2.072,1.792,9614,4331,-0.209
MYO1E,,,,no,3.748,2.306,17394,5573,-0.701
MYO1F,,,,no,3.069,2.492,14244,6022,-0.301
MYO5A,,,,no,3.151,2.792,14624,6748,-0.175
MYO5B,,,,no,1.77,1.458,8215,3524,-0.28
MYO6,,,,no,4.265,2.545,19795,6152,-0.745
MYOD1,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.051,0.053,236,128,0.059
MYOF,,,,no,4.072,2.909,18896,7030,-0.485
MYOG,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,,yes,0.371,0.453,1723,1094,0.286
MYOT,,,,no,0.053,0.096,247,231,0.845
MZB1,,,,no,3.217,1.573,14928,3802,-1.032
MZF1,,,,no,1.554,1.826,7214,4413,0.232
N4BP2,,,,no,3.01,1.876,13971,4534,-0.682
NAA15,,,,no,3.319,3.692,15401,8922,0.154
NAA16,,,,no,3.631,2.757,16850,6663,-0.397
NAA40,,,,no,4.948,3.107,22963,7510,-0.671
NAAA,,,,no,3.353,3.108,15560,7511,-0.11
NACC2,,,,no,0.758,0.658,3517,1591,-0.203
NAIF1,,,,no,0.636,0.573,2950,1386,-0.149
NAIP,,,,no,6.919,9.198,32110,22230,0.411
NANOG,embryonic_pluripotency,Pluripotency factors / embryonic-restricted; not in adult pancreas or LN.,,yes,0.123,0.214,570,518,0.803
NAP1L3,,,,no,0.261,0.19,1211,459,-0.458
NAP1L4,,,,no,7.131,5.344,33094,12916,-0.416
NAP1L5,,,,no,0.357,0.458,1658,1108,0.36
NAT1,,,,no,0.155,0.174,718,421,0.171
NAT10,,,,no,1.289,0.988,5980,2387,-0.384
NAT2,,,,no,0.081,0.101,377,244,0.314
NAV1,,,,no,1.86,1.479,8630,3575,-0.33
NAV2,,,,no,1.01,0.874,4688,2113,-0.208
NBL1,,,,no,9.717,7.78,45094,18804,-0.321
NBN,,,,no,3.854,2.405,17886,5813,-0.68
NBPF3,,,,no,0.084,0.174,388,420,1.056
NCAM1,,,,no,0.13,0.158,605,383,0.282
NCBP1,,,,no,3.336,3.383,15483,8176,0.02
NCBP3,,,,no,4.458,3.811,20689,9210,-0.226
NCEH1,,,,no,1.209,0.88,5609,2128,-0.457
NCF1,,,,no,7.028,5.147,32617,12440,-0.449
NCF2,,,,no,1.758,1.886,8158,4559,0.102
NCF4,,,,no,2.183,1.483,10132,3585,-0.558
NCK1,,,,no,8.577,6.624,39807,16010,-0.373
NCLN,,,,no,3.743,2.708,17372,6546,-0.467
NCOA1,,,,no,2.231,2.334,10355,5640,0.065
NCOA2,,,,no,2.871,2.844,13323,6874,-0.013
NCOA3,,,,no,3.623,2.864,16813,6923,-0.339
NCOA4,,,,no,14.628,8.113,67885,19609,-0.85
NCOR1,,,,no,5.217,3.863,24213,9337,-0.433
NCOR2,,,,no,14.503,11.522,67308,27848,-0.332
NCR1,,,,no,0.15,0.127,696,307,-0.24
NCR2,,,,no,0.037,,173,0,
NCR3,,,,no,0.3,0.441,1391,1065,0.556
NCS1,,,,no,0.991,0.761,4598,1839,-0.381
NCSTN,,,,no,4.358,3.873,20226,9361,-0.17
NDNF,,,,no,0.22,0.277,1020,669,0.333
NDP,,,,no,0.025,0.043,114,105,0.823
NDRG1,,,,no,10.579,5.323,49098,12865,-0.991
NDRG2,,,,no,4.877,4.824,22636,11660,-0.016
NDRG4,,,,no,1.909,1.38,8860,3335,-0.468
NDST4,,,,no,0.186,0.374,864,904,1.007
NDUFA3,,,,no,1.415,1.354,6569,3273,-0.064
NDUFAB1,,,,no,1.041,0.812,4829,1962,-0.358
NEBL,,,,no,1.242,0.661,5766,1597,-0.911
NECAB2,,,,no,0.047,0.089,217,216,0.935
NECTIN1,,,,no,2.411,2.949,11190,7128,0.291
NECTIN2,,,,no,1.78,1.662,8262,4017,-0.099
NECTIN3,,,,no,0.35,0.39,1626,943,0.155
NEDD4,,,,no,1.495,1.057,6936,2554,-0.5
NEDD4L,,,,no,0.577,0.422,2679,1020,-0.452
NEDD9,,,,no,2.214,1.63,10276,3939,-0.442
NEFH,,,,no,0.24,0.242,1116,584,0.007
NEFL,,,,no,0.654,0.129,3033,311,-2.344
NEFM,,,,no,0.077,0.077,358,187,0.004
NEIL3,,,,no,0.17,0.193,789,467,0.185
NEK1,,,,no,1.578,1.692,7325,4090,0.101
NEK11,,,,no,0.538,0.499,2497,1205,-0.11
NEK2,,,,no,0.222,0.273,1028,659,0.3
NEK3,,,,no,1.061,0.923,4925,2231,-0.201
NEK4,,,,no,1.061,1.069,4922,2584,0.012
NEK5,,,,no,0.075,0.097,349,235,0.371
NEK6,,,,no,2.683,2.871,12452,6938,0.097
NEK8,,,,no,0.847,0.772,3933,1865,-0.135
NELL1,,,,no,0.25,0.281,1159,680,0.172
NEMP1,,,,no,2.946,2.176,13674,5258,-0.438
NEPRO,,,,no,3.392,2.604,15740,6294,-0.381
NES,,,,no,1.109,1.466,5147,3543,0.403
NETO1,,,,no,0.253,0.232,1174,560,-0.127
NEURL4,,,,no,3.209,3.061,14893,7398,-0.068
NEUROD1,,,,no,0.046,0.065,212,158,0.517
NEUROD2,,,,no,0.063,0.08,291,194,0.356
NEUROG2,,,,no,0.045,0.098,211,238,1.115
NEXN,,,,no,0.299,0.118,1386,284,-1.346
NF1,,,,no,1.725,1.512,8006,3655,-0.19
NF2,,,,no,2.785,2.223,12926,5372,-0.325
NFAT5,,,,no,2.036,1.778,9449,4297,-0.196
NFATC1,,,,no,3.288,2.553,15257,6171,-0.365
NFATC2,,,,no,2.147,1.607,9963,3883,-0.418
NFATC3,,,,no,4.45,5.132,20654,12404,0.206
NFATC4,,,,no,2.506,2.28,11631,5510,-0.137
NFE2L1,,,,no,10.859,6.248,50394,15101,-0.797
NFE2L2,,,,no,7.266,6.582,33719,15907,-0.143
NFE2L3,,,,no,0.957,0.785,4441,1898,-0.285
NFKB1,,,,no,4.059,3.775,18836,9124,-0.104
NFKB2,,,,no,4.79,5.174,22228,12504,0.111
NFX1,,,,no,5.491,5.11,25483,12351,-0.104
NGB,,,,no,0.028,,131,0,
NGDN,,,,no,1.969,1.355,9139,3275,-0.539
NGF,,,,no,0.022,,104,0,
NGFR,,,,no,0.417,1.089,1934,2631,1.385
NHLH2,,,,no,0.112,0.206,522,497,0.87
NIBAN1,,,,no,2.039,1.599,9464,3865,-0.351
NIFK,,,,no,2.106,1.996,9776,4824,-0.078
NIN,,,,no,8.45,6.057,39216,14640,-0.48
NINJ1,,,,no,2.417,1.494,11217,3611,-0.694
NIPSNAP1,,,,no,2.417,2.17,11218,5245,-0.156
NIPSNAP3A,,,,no,0.575,0.623,2670,1506,0.115
NKAPD1,,,,no,1.915,1.845,8886,4458,-0.054
NKAPL,,,,no,0.177,0.169,822,409,-0.066
NKG7,,,,no,1.222,0.837,5670,2024,-0.545
NKRF,,,,no,1.005,0.796,4663,1923,-0.337
NKX2-1,,,,no,0.061,0.1,283,241,0.709
NKX2-3,,,,no,0.051,0.073,235,176,0.524
NKX2-4,,,,no,0.073,0.127,341,308,0.794
NKX2-8,,,,no,0.046,0.053,214,127,0.188
NKX3-1,,,,no,0.107,0.092,497,222,-0.221
NKX6-1,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,0.089,0.159,414,385,0.836
NKX6-2,,,,no,0.036,0.072,168,174,0.992
NLE1,,,,no,0.255,0.365,1182,881,0.517
NLGN3,,,,no,0.053,0.058,246,141,0.138
NLRC5,,,,no,6.075,5.398,28195,13046,-0.171
NLRP1,,,,no,5.624,5.039,26102,12179,-0.159
NLRP11,,,,no,0.033,0.062,153,149,0.903
NLRP2,,,,no,0.213,0.368,990,889,0.786
NLRP3,,,,no,0.328,0.386,1520,933,0.237
NLRP5,oocyte_germline,Oocyte / female germline-specific expression.,,yes,0.03,0.056,141,136,0.889
NLRP6,,,,no,0.548,0.389,2544,940,-0.495
NLRP7,oocyte_germline,Oocyte / female germline-specific expression.,,yes,0.064,0.068,295,165,0.103
NLRP9,,,,no,0.057,0.116,263,281,1.037
NMB,,,,no,0.19,0.277,884,669,0.539
NME1,,,,no,2.146,2.391,9960,5779,0.156
NMNAT1,,,,no,0.671,0.818,3116,1978,0.286
NMU,,,,no,0.35,0.48,1622,1160,0.458
NNAT,,,,no,0.871,0.848,4042,2050,-0.038
NOA1,,,,no,1.932,1.32,8964,3191,-0.549
NOC3L,,,,no,2.368,2.37,10991,5728,0.001
NOD1,,,,no,1.075,1.042,4987,2519,-0.044
NOD2,,,,no,0.287,0.316,1334,764,0.137
NODAL,,,,no,0.038,0.063,177,153,0.731
NOL4,,,,no,0.049,0.07,227,170,0.524
NOL4L,,,,no,3.913,3.897,18162,9419,-0.006
NOLC1,,,,no,4.28,3.777,19864,9128,-0.181
NOM1,,,,no,4.004,2.429,18582,5871,-0.721
NOMO3,,,,no,0.735,0.537,3413,1298,-0.453
NONO,,,,no,24.169,17.44,112166,42151,-0.471
NOP2,,,,no,3.375,2.614,15663,6318,-0.369
NORAD,,,,no,7.103,7.762,32965,18761,0.128
NOS1,,,,no,0.093,0.044,432,106,-1.086
NOS1AP,,,,no,0.195,0.184,906,445,-0.084
NOS2,,,,no,0.103,0.091,479,221,-0.175
NOS3,,,,no,0.779,0.931,3616,2249,0.256
NOSTRIN,,,,no,0.597,0.593,2770,1434,-0.009
NOTCH1,,,,no,4.537,7.153,21056,17287,0.657
NOTCH2,,,,no,9.305,7.074,43182,17098,-0.395
NOTCH2NLA,,,,no,12.159,13.528,56431,32695,0.154
NOTCH3,,,,no,1.209,1.179,5612,2850,-0.036
NOTCH4,,,,no,1.714,1.852,7953,4476,0.112
NOX1,,,,no,0.042,0.045,195,109,0.102
NOX4,,,,no,0.305,0.418,1417,1010,0.453
NPAS4,,,,no,0.031,0.051,143,124,0.736
NPAT,,,,no,2.961,2.693,13744,6508,-0.137
NPC1,,,,no,2.235,1.472,10372,3558,-0.602
NPC1L1,,,,no,0.032,0.046,150,112,0.52
